session_id,session_type,session_description,session_track,session_room,start_session,end_session,presentation_LastName,presentation_FirstName,presentation_authors,presentation_title,start_presentation,end_presentation
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Oana,Ștefăniță,"Ș. Oana1, N. Corbu1, R. Buturoiu1, D. Alexandru1.1SNSPA National University of Political Studies and Public Administration, communication, Bucharest, Romania.",Hate speech and social media engagement: a silencing effect,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Scherer,Helmut,"I. Bytyci1, H. Scherer1, J. Scheper1.1Hanover University of Music- Drama and Media, Department of Journalism and Communication Research, Hannover, Germany.","To Vaccinate or not to Vaccinate, is this a Public Opinion Question? The Spiral of Silence in a Health Communication Context",2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Rodgers,Scott,"","",,
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Raetzsch,Christoph,"","",,
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Smets,Annelien,"A. Smets1.1Vrije Universiteit Brussel, Studies in Media Innovation and Technology, Brussels, Belgium.",The Smart City as a Curational Platform,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Krajina,Zlatan,"Z. Krajina1.1University of Zagreb, Faculty of Political Sciences, Zagreb, Croatia.",Digital Urbanity and Interethnic Friendships: Communication Practices of Conviviality in Trieste,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Rodgers,Scott,"S. Rodgers1, A. Ballatore2, L. McLoughlin3, S. Moore4.1Birkbeck University of London, Department of Film Media and Cultural Studies, London, United Kingdom.2King's College London, Department of Digital Humanities, London, United Kingdom.3University of Manchester, Department of Politics, Manchester, United Kingdom.4University College London, Bartlett School of Planning, London, United Kingdom.",Facebook City: Ambiguities between Translocal Platform and Local Communication Infrastructure,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195830_0,Parallel Session - NORTH Building,Communication and the Smart City,"Media, Cities and Space",1410-038,2022-10-20T09:00:00,2022-10-20T10:30:00,Raetzsch,Christoph,"C. Raetzsch1, A. Hamm2, D. Henriques1, Y. Shibuya3.1Aarhus University, Department of Media and Journalism Studies, Aarhus, Denmark.2Technische Universität Berlin, Weizenbaum Institute for the Networked Society Berlin, Berlin, Germany.3University of Tokyo, Center for Spatial Information Studies, Tokyo, Japan.",Journalism and the Democratic Interface: From Data Dashboards to Participatory Infrastructures,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Hasenöhrl,Syntia,"","",,
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Hasenöhrl,Syntia,"S. Hasenöhrl1.1University of Vienna, Department of Political Science, Vienna, Austria.",Teaching intersectional im/mobilities as a move towards decolonial feminist knowledge production on media and migration?,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Baptista,Carla,"C. Baptista1.1NOVA FCSH/ICNOVA, Science Communications Department- New University of Lisbon, Lisboa, Portugal.",Representations of anti-racist activism and black identity in the media. A case study about police violence against a black community in Portugal,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Ben Moussa,Mohamed,"M. Ben Moussa1.1University of Sharjah, Communication, Sharjah, United Arab Emirates.",Arab women vloggers in Europe and identity narratives as decolonial discourse,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Nataraj,Paul,"P. Nataraj1, E. Keightley1, C. Clini1, H. Jasmine1.1Loughborough University, School of Social Sciences and Humanities / Migrant Memory and The Postcolonial Imagination MMPI, Loughborough, United Kingdom.","Communicating Bengali liberation: memory, cultural identity and performing Nazrul",2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195840_0,Parallel Session - NORTH Building,"Intersectional, decolonial, activist approaches","Diaspora, Migration and the Media",1412-229,2022-10-20T09:00:00,2022-10-20T10:30:00,Balty,Cécile,"C. Balty1.1Université Libre de Bruxelles, Département des Sciences de l'Information et de la Communication, Ixelles, Belgium.",Words of struggle and struggles of words. Analysing the activist discursive practices of the cause of migrants in Belgium.,2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Schroeder,Kim Christian,"","",,
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Schlütz,Daniela,"D. Schlütz1, M. Wever1, P. Clausen1, C. Meyer1.1Film University Babelsberg KONRAD WOLF, Digital Media Culture, Potsdam, Germany.",Interactive Documentaries: When Journalism and Art Come Together to Make an Impact,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Niemann-Lenz,Julia,"J. Niemann-Lenz1, K. Emde-Lachmund2.1University of Hamburg, Journalism & Communication Science, Hamburg, Germany.2Hanover University of Music- Drama- & Media, Journalism & Communication Research, Hanover, Germany.",Exclusive vs. additional incidental news exposure in context. Antecedents and effects of two conceptualizations,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Radechovsky,Johanna,"J. Radechovsky1.1TU Ilmenau, Research Group Media Studies- Institute of Media and Communication Science, Ilmenau, Germany.",Fake or fact? Factors influencing the ability of recipients to assess the truthfulness of impactful news,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Suau,Jaume,"J. Suau1, D. Puertas2.1Ramon Llull University, Blanquerna School of Communication and International Relations, Barcelona, Spain.2Ramon Llul University, Digilab, Barcelona, Spain.","Covid-19 effects on media trust and perceptions on disinformation, a three countries study",2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195010_0,Parallel Session - SOUTH Building,Audiences' challenges to navigating the new,Audience and Reception Studies,1250-304 Per Kirkeby aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Halagiera,Denis,"D. Halagiera1, P. van Erkel2, L. Gehle3, C.E. Meltzer3, L. Terren4.1Adam Mickiewicz University, Departament of Social Communication/THREATPIE, Poznan, Poland.2University of Antwerp, Department of Political Sciences/THREATPIE, Antwerp, Belgium.3Johannes Gutenberg-University, Department of Communication/THREATPIE, Mainz, Germany.4Open University of Catalonia, Department of Law and Political Science/THREATPIE, Barcelona, Spain.","Causes, consequences, and solutions. Findings from a mixed-method study on disinformation perception across generations in five countries (Germany, Poland, Romania, Spain, the UK).",2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,De Vuyst,Sara,"","",,
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Haydari,Nazan,"N. Haydari1, B. Celik2.1Istanbul Bilgi University, Faculty of Communication, Istanbul, Turkey.2Loughborough University, Institute for Media and Creative Industries, London, United Kingdom.",Parrhesia as Journalism: Learning from the Truth and Justice-Seeking Women Journalists of 20th Century Turkey,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,D'Heer,Joke,"J. D'Heer1.1Ghent University, Communication Science, Ghent, Belgium.",Approaching gendering in political news from a feminist standpoint perspective: journalists and positionality,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Stricker,Annika,"A. Stricker1.1Charles University, Communication Studies and Journalism, Praha, Czech Republic.",How gendered stereotypes limit women’s professional practice in covering conflict zones in Latin America,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Pedro,Lidia,"L. Pedro1.1University of Wollongong, School of the Arts- English and Media, Wollongong Australia, Spain.",The dangers of being a videojournalist: the women’s perspective,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195440_0,Parallel Session - SOUTH Building,Gender issues in journalism and news,"Gender, Sexuality and Communication",1252-204 Eduard Biermann aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Sampaio-Dias,Susana,"S. Sampaio-Dias1, M.J. Silveirinha2, B. Garcez2.1University of Portsmouth, School of Film Media and Communication, Portsmouth, United Kingdom.2Universidade de Coimbra, Dep. Philosophy- Communication and Information, Coimbra, Portugal.","“Have you not got a wife at home?”: the impact of parenthood, family building and family responsibilities in newsrooms. A study of Portuguese women journalists.",2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Stepinska,Agnieszka,"","",,
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Glowacki,Michal,"M. Glowacki1, M. Demeter2.1University of Warsaw, Faculty of Journalism Information and Book Studies, Warsaw, Poland.2The National University of Public Service, -, Budapest, Hungary.",The Matrix of Media Culture in Central and Eastern Europe,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Balcytiene,Aukse,"A. Balcytiene1.1Vytautas Magnus University, -, Kaunas, Lithuania.",The Socio-cultural Turn in the Analysis of Disinformation: Insights from Lithuania,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Mlađenović,Nikola,"N. Mlađenović1.1Faculty of Diplomacy and Security / Union - Nikola Tesla University, -, Belgrade, Serbia.",De–differentiation Through Media Culture: Serbia and Montenegro,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Harro-Loit,Halliki,"H. Harro-Loit1, E. Lauk1.1University of Tartu, -, Tartu, Estonia.",Estonian Journalism Culture from the Perspective of Journalistic Human Capital,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195480_0,Parallel Session - SOUTH Building,The Matrix of Media Culture: Central and Eastern Europe Beyond Institutions and Systems,Journalism Studies,1252-310 Jeppe Vontilius aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Zankova,Bissera,"B. Zankova1.1Media 21 Foundation, -, Sofia, Bulgaria.",Culture in the Bulgarian Media Transformations: Media and Legal Culture,2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195520_0,Parallel Session - SOUTH Building,The global challenges of Public Service Media and the next 100 years,Journalism Studies,1253-211 Merethe Barker aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Franks,Suzanne,"","",,
session_0000195520_0,Parallel Session - SOUTH Building,The global challenges of Public Service Media and the next 100 years,Journalism Studies,1253-211 Merethe Barker aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Murrell,Colleen,"C. Murrell1, S. Franks2.1Dublin City University, Journalism, Dublin, Ireland.2Suzanne Franks, Journalism, London, United Kingdom.",It’s all about the money - challenges of funding PSM in Great Britain and Ireland.,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195520_0,Parallel Session - SOUTH Building,The global challenges of Public Service Media and the next 100 years,Journalism Studies,1253-211 Merethe Barker aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Sehl,Annika,"A. Sehl1.1Universität der Bundeswehr München, Journalism, Munich, Germany.",Public service media and their funding: Predictors of willingness to pay in three European countries,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195520_0,Parallel Session - SOUTH Building,The global challenges of Public Service Media and the next 100 years,Journalism Studies,1253-211 Merethe Barker aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Thussu,Daya,"D. Thussu1.1Hong Kong Baptist University, Journalism, Hong Kong, Hong Kong.",Declining Doordarshan?: India’s public broadcaster in the age of infotainment,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195520_0,Parallel Session - SOUTH Building,The global challenges of Public Service Media and the next 100 years,Journalism Studies,1253-211 Merethe Barker aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Lincoln,Louisa,"L. Lincoln1, V. Pickard1.1University of Pennsylvania, Annenberg School for Communication, Philadelphia, USA.",Reimagining American Public Media: A Systemic Approach to the Journalism Crisis?,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Oliveira,Evandro,"","",,
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Kretschmer,Jannik,"J. Kretschmer1, P. Winkler1.1University of Salzburg, Department of Communication Studies, Salzburg, Austria.",Regaining impact through reflexive digital public relations research: A literature review on recurrent digitalization narratives of the last decade,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Binder-Tietz,Sandra,"S. Binder-Tietz1.1University of Leipzig, Institute of Communication and Media Studies, Leipzig, Germany.",The chairperson of the supervisory board as a new communicator for companies,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Lührmann,Julia,"J. Lührmann1, H. Stehle1.1University of Muenster, Department of Communication, Muenster, Germany.",Personal values and executives’ communication: Findings of a literature review and a future agenda,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Gravengaard,Gitte,"G. Gravengaard1.1University of Copenhagen, Department of Nordic Studies and Linguistics, Copenhagen, Denmark.","Co-creation for research and the new research value chain – a theoretical and a practical approach to rethinking knowledge creation, relevance and social impact",2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195560_0,Parallel Session - SOUTH Building,Emerging Theoretical and Applied Proposals,Organisational and Strategic Communication,1262-101 Samfundsmedicin,2022-10-20T09:00:00,2022-10-20T10:30:00,Raupp,Juliana,"J. Raupp1.1Freie Universität Berlin, Media and Communication Studies, Berlin, Germany.",Rethinking impact – rethinking the measurement and evaluation of strategic communication,2022-10-20T10:00:00,2022-10-20T10:15:00
session_0000195600_0,Parallel Session - EAST Building,"Disconnection, Distance, Detox",Digital Culture and Communication,1324-011 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Karlsen,Faltin,"F. Karlsen1.1Kristiania University College, Department of communication, Norway, Norway.",Exploring gamification affordances in digital detox apps,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195600_0,Parallel Session - EAST Building,"Disconnection, Distance, Detox",Digital Culture and Communication,1324-011 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Koivunen,Anu,"A. Koivunen1, K. Nikunen2.1University of Turku, Gender Studies, Turku, Finland.2University of Tampere, Faculty of Communication sciences, Tampere, Finland.",Anticipation as platformed temporality and power,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195600_0,Parallel Session - EAST Building,"Disconnection, Distance, Detox",Digital Culture and Communication,1324-011 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Kramp,Leif,"L. Kramp1, S. Weichert2.1University of Bremen, ZeMKI, Bremen, Germany.2VOCER, Institute for Digital Resilience, Hamburg, Germany.",Digital Resilience: Rethinking the Impact of Media Transformation,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195640_0,Parallel Session - EAST Building,Negotiating Digital Afterlife – Post-mortal Communication in a Hyper-mediated Society,Digital Culture and Communication,1324-025 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Morse,Tal,"","",,
session_0000195640_0,Parallel Session - EAST Building,Negotiating Digital Afterlife – Post-mortal Communication in a Hyper-mediated Society,Digital Culture and Communication,1324-025 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Refslund Christensen,Dorthe,"D. Refslund Christensen1.1Aarhus University, School of Communication and Culture, Aarhus, Denmark.",Digital Rituals in Context: An autoethnographical analysis,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195640_0,Parallel Session - EAST Building,Negotiating Digital Afterlife – Post-mortal Communication in a Hyper-mediated Society,Digital Culture and Communication,1324-025 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Sumiala,Johanna,"J. Sumiala1.1University of Helsinki, Media and Communication Studies, Helsinki, Finland.","Immortality, Afterlife and Hyper-Mediation of Digital Zombies in Society",2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195640_0,Parallel Session - EAST Building,Negotiating Digital Afterlife – Post-mortal Communication in a Hyper-mediated Society,Digital Culture and Communication,1324-025 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Altaratz,Doron,"D. Altaratz1, T. Morse1.1Hadassah Academic College, Department of Photographic Communication, Jerusalem, Israel.",Deepfaking the dead: computational photography and raising of “Lazarus”,2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195640_0,Parallel Session - EAST Building,Negotiating Digital Afterlife – Post-mortal Communication in a Hyper-mediated Society,Digital Culture and Communication,1324-025 Twin aud,2022-10-20T09:00:00,2022-10-20T10:30:00,Harju,Anu,"A. Harju1.1University of Helsinki, Media and Communication Studies, Helsinki, Finland.",Sharing death: terrorist violence and the digital afterlife of mediated death,2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195680_0,Parallel Session - EAST Building,National cinemas and beyond,Film Studies,1325-028,2022-10-20T09:00:00,2022-10-20T10:30:00,Labayen,Miguel Fernandez-Rodriguez,"","",,
session_0000195680_0,Parallel Session - EAST Building,National cinemas and beyond,Film Studies,1325-028,2022-10-20T09:00:00,2022-10-20T10:30:00,Moltesen Agger,Gunhild,"G. Moltesen Agger1.1Aalborg University, Department of Culture and Learning, Aalborg, Denmark.",Into the Darkness - and the tradition of Danish occupation films,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195680_0,Parallel Session - EAST Building,National cinemas and beyond,Film Studies,1325-028,2022-10-20T09:00:00,2022-10-20T10:30:00,Gabriels,Bjorn,"B. Gabriels1, G. Willems1, B. Rochet2.1University of Antwerp / Ghent University, Literature / Communication Sciences, Antwerpen, Belgium.2University of Namur, History, Namur, Belgium.",Screening multiple identities. (Sub/trans)national discourses in post-war Belgian cinema,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195680_0,Parallel Session - EAST Building,National cinemas and beyond,Film Studies,1325-028,2022-10-20T09:00:00,2022-10-20T10:30:00,Garin,Manuel,"M. Garin1, M.S. Barreiro2.1Universitat Pompeu Fabra, Department of Communication, Barcelona, Spain.2Universidade de Santiago de Compostela, Department of Communication, Santiago de Compostela, Spain.","Replaying NO-DO: Football, Power and Images in Francoist Film Newsreels",2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195680_0,Parallel Session - EAST Building,National cinemas and beyond,Film Studies,1325-028,2022-10-20T09:00:00,2022-10-20T10:30:00,Akser,Murat,"M. Akser1.1Ulster University, School of Arts and Humanities, Londonderry, United Kingdom.","On Land, Memory and Masculinity:  Silent Undoing of Nationalist Myths in The Wild Pear Tree",2022-10-20T09:45:00,2022-10-20T10:00:00
session_0000195720_0,Parallel Session - EAST Building,Reaching young audiences in an on-demand age: Rethinking strategies for outreach and impact in Danish fiction for children and young audiences,Television Studies,1325-036,2022-10-20T09:00:00,2022-10-20T10:30:00,Redvall,Eva,"","",,
session_0000195720_0,Parallel Session - EAST Building,Reaching young audiences in an on-demand age: Rethinking strategies for outreach and impact in Danish fiction for children and young audiences,Television Studies,1325-036,2022-10-20T09:00:00,2022-10-20T10:30:00,Jensen,Pia Majbritt,"A.S. Mouritsen1, P.M. Jensen1.1University of Aarhus, Media Studies, Aarhus, Denmark.",Understanding children’s and teenagers’ media preferences via the method of mobile ethnography,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195720_0,Parallel Session - EAST Building,Reaching young audiences in an on-demand age: Rethinking strategies for outreach and impact in Danish fiction for children and young audiences,Television Studies,1325-036,2022-10-20T09:00:00,2022-10-20T10:30:00,Mitric,Petar,"P. Mitric1.1University of Copenhagen, Dept. of Communication, Copenhagen, Denmark.",Can the Audience Design method help youth content reach audiences? The case of 'Efterskolen',2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195720_0,Parallel Session - EAST Building,Reaching young audiences in an on-demand age: Rethinking strategies for outreach and impact in Danish fiction for children and young audiences,Television Studies,1325-036,2022-10-20T09:00:00,2022-10-20T10:30:00,Christensen,Christa Lykke,"C.L. Christensen1.1University of Copenhagen, Dept. of Communication, Copenhagen, Denmark.","Perceptions of children among commissioners at the Danish Broadcasting Corporation, DR",2022-10-20T09:30:00,2022-10-20T09:45:00
session_0000195720_0,Parallel Session - EAST Building,Reaching young audiences in an on-demand age: Rethinking strategies for outreach and impact in Danish fiction for children and young audiences,Television Studies,1325-036,2022-10-20T09:00:00,2022-10-20T10:30:00,Redvall,Eva,"E.N. Redvall1.1University of Copenhagen, Dept. of Communication, Copenhagen, Denmark.",Making serial drama for the youngest viewers: The production strategies of DR Ramasjang,2022-10-20T09:45:00,2022-10-20T10:00:00
